Name,Costs,Google Maps,Tags
融化漢堡排福吉 淺草倉前,🤑🤑,https://maps.app.goo.gl/WZkreq6NqbJp1h5S8,Restaurant
蒲公英 巧克力 Dandelion chocolate,🤑🤑,https://maps.app.goo.gl/6W2HiebuinWijLPE9,Cafe
淺草寺 雷門,Free,https://maps.app.goo.gl/fyTC7p2m1Y5xuSiJ8,Attraction
東京國立博物館,🤑,https://maps.app.goo.gl/WJAeSJR8MFNKQx9g8,Attraction
上野之森美術館,🤑🤑,https://maps.app.goo.gl/K7pb2C99ocwrM4uEA,Attraction
拉麵元樂 總本店,🤑,https://maps.app.goo.gl/eSCs8YCrwFfX1qLA9,Restaurant
合羽橋道具街,🤑,https://maps.app.goo.gl/m6hZEB2JAdfLJAPt6,Attraction
KURAMAE CANNELE,🤑,https://maps.app.goo.gl/NREE8yXrPA25R9F58,Cafe
拉麵 改,🤑,https://maps.app.goo.gl/DrsdxorzpLxPoap56,Restaurant
麺 みつヰ,🤑,https://maps.app.goo.gl/77MX6NtLyx6AYXKk9,Restaurant
Confectionery Lemon Pie,🤑🤑,https://maps.app.goo.gl/TYu9BfZPq8gGEywo9,Cafe
HATCOFFEE,🤑🤑,https://maps.app.goo.gl/9a37J2WRaW7TPrDx8,Cafe
Shinonome Seipansho,🤑,https://maps.app.goo.gl/qbCnfMA6DrvJQZ9C8,Cafe
淺草花月堂,🤑,https://maps.app.goo.gl/qVjSRJ1GNGNU5CpG8,Cafe
Tonkatsu Yutaka,🤑🤑,https://maps.app.goo.gl/x4rxxq62xu4hp8pE7,Restaurant
淺草炸肉餅,🤑,https://maps.app.goo.gl/HZgQinzc4uosJ811A,Restaurant